Count of MONTH,Column Labels,,,,,,
Row Labels,7,8,9,10,11,12,Grand Total
Andrew Molera SP,445,375,248,169,,,1237
Angel Island SP,292,288,302,274,248,178,1582
Anza-Borrego Desert SP,,,,1090,1711,1595,4396
Auburn SRA,352,284,115,,,,751
Benbow SRA,344,209,60,,,,613
Bidwell-Sacramento River SP,,,,1,,,1
Bolsa Chica SB,878,1064,1256,1224,1062,1013,6497
Bothe-Napa Valley SP,861,672,646,727,600,325,3831
Brannan Island SRA,79,9,19,,,,107
Calaveras Big Trees SP,1811,1119,1134,630,35,35,4764
Carpinteria SB,4018,4272,4136,3923,3309,2966,22624
Castle Crags SP,881,518,170,29,,,1598
Caswell Memorial SP,577,440,455,197,141,21,1831
China Camp SP,728,475,364,303,153,66,2089
Chino Hills SP,185,126,154,141,135,83,824
Clear Lake SP,1127,710,568,306,187,28,2926
Clear Lake SP Cabins,75,41,50,39,35,24,264
Colonel Allensworth SHP,19,11,8,25,24,14,101
Columbia SHP Hotels and Cottages,152,119,111,115,114,127,738
Crystal Cove SP Beach Cottages,212,252,293,330,385,474,1946
Crystal Cove SP Moro Campground,1612,1522,1595,1716,1590,1495,9530
Cuyamaca Rancho SP,1548,1086,1183,1108,1006,54,5985
D.L. Bliss SP,1015,1020,540,,,,2575
Del Norte Coast Redwood SP Mill Creek Campground,2530,2085,1094,,,,5709
Doheny SB,1911,2406,2556,2559,2065,2049,13546
Donner Memorial SP,1547,1436,311,,,,3294
El Capitan SB,2546,2641,2260,1809,1664,214,11134
Emerald Bay SP,1948,2039,374,,,,4361
Emma Wood SB,1420,1397,179,,,,2996
Folsom Lake SRA,1526,1039,979,780,565,383,5272
Fort Tejon SHP,3,4,5,5,6,,23
Fremont Peak SP,294,214,220,161,139,58,1086
Gaviota SP,1035,768,478,,,,2281
George J. Hatfield SRA,61,13,18,2,1,,95
Grizzly Creek Redwoods SP,448,308,59,,,,815
Grover Hot Springs SP,2,,,,,,2
Half Moon Bay SB,1294,1294,1336,1332,1194,1187,7637
Hearst San Simeon SP,3781,3336,2647,2375,2303,1624,16066
Hendy Woods SP,1194,841,761,377,337,116,3626
Henry Cowell Redwoods SP,2246,2262,1910,1614,,,8032
Henry W Coe SP,257,163,208,165,164,55,1012
Hollister Hills SVRA,72,294,271,415,546,204,1802
Humboldt Redwoods SP,3239,2157,1150,648,355,198,7747
Hungry Valley SVRA,1,,4,2,,,7
Indian Grinding Rock SHP,182,113,115,114,84,16,624
Jedediah Smith Redwoods SP,1515,1350,1525,83,54,64,4591
Julia Pfeiffer Burns SP,47,49,46,50,39,47,278
Lake Oroville SRA,777,442,417,280,136,29,2081
Lake Perris SRA,3446,2199,1653,1101,977,406,9782
Leo Carrillo SP,2503,2868,2720,2360,1758,1638,13847
Limekiln SP,535,492,491,461,436,424,2839
Mackerricher SP,1851,1682,1443,662,474,211,6323
Malakoff Diggins SHP,239,114,117,71,,,541
Malibu Creek SP,1372,1135,934,860,796,532,5629
Manresa SB,1037,818,610,526,,,2991
Mcarthur-Burney Falls Mem SP Cabins,365,270,210,23,,,868
Mcarthur-Burney Falls Memorial SP,1293,960,415,221,14,,2903
Mcconnell SRA,198,165,155,84,18,7,627
Millerton Lake SRA,1113,656,587,296,265,119,3036
Montana De Oro SP,957,964,817,700,706,530,4674
Morro Bay SP,2370,2330,2178,2073,1866,1598,12415
Morro Strand SB,1336,1455,1350,1194,1102,901,7338
Mount Diablo SP,808,638,596,480,434,142,3098
Mount Tamalpais SP,410,388,365,181,430,388,2162
Mt. San Jacinto SP,915,741,765,653,332,204,3610
New Brighton SB,2353,2633,2519,2347,1545,1370,12767
Oceano Dunes SVRA,3248,2767,2454,2122,1945,1871,14407
Palomar Mountain SP,555,417,332,321,321,,1946
Pfeiffer Big Sur SP,2884,3075,3039,2902,2074,1476,15450
Pismo SB,2697,3208,2676,2654,2313,2125,15673
Plumas-Eureka SP,692,460,88,,,,1240
Point Mugu SP,1998,2158,1946,1884,1598,1441,11025
Portola Redwoods SP,1272,681,401,265,,,2619
Prairie Creek Redwoods SP Elk Prairie Campground,1567,1491,1451,1169,471,321,6470
Prairie Creek Redwoods SP Gold Bluffs Beach Camp,455,476,417,443,273,127,2191
Red Rock Canyon SP,13,,,152,286,144,595
Refugio SB,1112,1416,1416,1380,1180,182,6686
Richardson Grove SP,1120,627,143,36,24,16,1966
Russian Gulch SP,567,508,451,,,,1526
Salt Point SP,1620,1347,1243,1045,392,323,5970
Salton Sea SRA,44,20,28,46,158,79,375
Samuel P. Taylor SP,1252,1296,1086,930,582,418,5564
Samuel P. Taylor SP Cabins,89,78,76,89,76,,408
San Clemente SB,2250,2660,2625,2447,2080,2011,14073
San Clemente SB (The Holidays Vintage Trailers),87,97,97,72,50,56,459
San Elijo SB,2439,2751,3255,3352,3008,2948,17753
San Luis Reservoir SRA,823,586,642,532,392,168,3143
San Onofre SB,5928,4509,2631,1635,1037,767,16507
Seacliff SB,987,1100,1044,1150,1149,1139,6569
Silver Strand SB,2090,2415,2043,1873,1509,1298,11228
Silverwood Lake SRA,1848,1232,1159,589,515,268,5611
Sonoma Coast State Park,2039,2206,1730,1345,1067,973,9360
South Carlsbad SB,3147,4115,4240,4299,3533,3492,22826
Standish-Hickey SRA,1135,713,213,,,,2061
Sue-meg SP,2091,2093,1745,531,255,183,6898
Sugar Pine Point SP,1808,1404,558,17,,,3787
Sugarloaf Ridge SP,668,444,350,359,390,129,2340
Sunset SB,1778,1943,1799,1465,696,535,8216
Tahoe SRA,403,366,55,,,,824
Van Damme SP,1267,1046,1049,739,235,182,4518
Woodson Bridge SRA,197,89,152,8,,,446
Grand Total,122358,111565,92889,75262,59149,45884,507107