,,,
,,,
,,,
Park,Anza Borrego Desert State Park,Angel Island State Park,China Camp State Park 
Jan 2018,861,90,50
Feb 2018,855,110,104
Mar 2018,1356,129,166
Apr 2018,946,166,193
May 2018,0,169,217
June 2018,0,181,326
July 2018,0,205,364
Aug 2018,0,194,326
Sep 2018,0,179,212
Oct 2018,452,152,181
Nov 2018,884,103,98
Dec 2018,708,116,25
Jan 2019,897,87,26
Feb 2019,886,85,26
Mar 2019,1629,123,84
Apr 2019,1183,160,158
May 2019,357,174,177
June 2019,0,195,257
July 2019,0,191,296
Aug 2019,0,199,257
Sep 2019,0,165,195
Oct 2019,519,149,166
Nov 2019,863,140,116
Dec 2019,648,88,20
Jan 2020,908,87,24
Feb 2020,918,111,58
Mar 2020,534,47,26
Apr 2020,0,0,0
May 2020,0,0,0
June 2020,0,2,22
July 2020,0,0,462
Aug 2020,0,0,406
Sep 2020,1,0,220
Oct 2020,798,0,252
Nov 2020,1225,0,246
Dec 2020,188,0,26
Jan 2021,31,0,0
Feb 2021,1140,0,130
Mar 2021,1506,0,229
Apr 2021,2304,148,352
May 2021,1176,143,312
June 2021,0,128,469
July 2021,0,450,545
Aug 2021,0,462,429
Sep 2021,1,273,287
Oct 2021,1378,277,279
Nov 2021,1905,237,161
Dec 2021,1771,210,50
Jan 2022,1844,173,58
Feb 2022,2006,196,134
Mar 2022,2526,259,174
Apr 2022,2127,252,291
May 2022,932,291,277
June 2022,0,286,476
July 2022,0,292,728
Aug 2022,0,288,475
Sep 2022,0,302,364
Oct 2022,0,274,303
Nov 2022,1711,248,153
Dec 2022,1595,178,66